PuzzleId,PieceCount,Datalog_Success,Triples_Before,Triples_After,Datalog_Time_Sec,Reasoning_Time_Sec,Peak_RAM_MB,Avg_CPU_Percent,Status
003nQ,21,TRUE,2751,3575,0.67,3.82,591.97,375.07,SUCCESS
005YM,21,TRUE,2767,3570,0.67,7.93,630.08,261.51,SUCCESS
001Hi,22,TRUE,2763,3574,0.68,7.62,594.29,263.82,SUCCESS
003Jb,22,TRUE,2770,3580,0.66,3.71,665.98,392.29,SUCCESS
004Op,22,TRUE,2799,3628,0.66,8.43,570.8,250.58,SUCCESS
004WZ,22,TRUE,2777,3574,0.67,6.52,706.41,305.62,SUCCESS
0054a,22,TRUE,2783,3612,0.66,4.12,585.84,361.6,SUCCESS
00143,23,TRUE,2808,3626,0.67,6.62,614.77,304.24,SUCCESS
001XA,23,TRUE,2823,3668,0.66,4.12,456.52,363.47,SUCCESS
001gi,23,TRUE,2730,3552,0.68,6.12,644.95,301.47,SUCCESS
002Ua,23,TRUE,2784,3601,0.68,6.42,678.35,296.73,SUCCESS
002e8,23,TRUE,2832,3662,0.67,4.02,653.64,370.54,SUCCESS
001wb,24,TRUE,2791,3613,0.67,4.02,476.65,378.76,SUCCESS
002Mm,24,TRUE,2707,3509,0.66,3.82,601.06,393.41,SUCCESS
003jb,24,TRUE,2801,3623,0.68,4.01,604.83,390.6,SUCCESS
004yJ,24,TRUE,2800,3609,0.66,7.43,563.78,265.77,SUCCESS
00656,24,TRUE,2770,3584,0.67,3.92,646.83,386.16,SUCCESS
000hf,25,TRUE,2820,3660,0.67,3.91,557.97,370.16,SUCCESS
001pC,25,TRUE,2726,3543,0.67,4.02,549.47,392.27,SUCCESS
003AX,25,TRUE,2819,3654,0.67,3.92,598.98,393.34,SUCCESS
004Ud,25,TRUE,2760,3598,0.68,4.02,594.64,368.25,SUCCESS
004Ys,25,TRUE,2811,3632,0.67,5.32,621.53,326.58,SUCCESS
000aY,26,TRUE,2824,3659,0.67,4.12,560.38,354.92,SUCCESS
000rZ,26,TRUE,2829,3652,0.68,7.83,684.3,264.81,SUCCESS
001kG,26,TRUE,2818,3670,0.67,4.31,633.21,383.12,SUCCESS
002p5,26,TRUE,2812,3656,0.66,6.83,606.74,293.91,SUCCESS
002rd,26,TRUE,2800,3625,0.67,7.43,609.69,268.89,SUCCESS
0017R,27,TRUE,2836,3678,0.66,7.23,665.71,280.24,SUCCESS
002IE,27,TRUE,2830,3665,0.67,3.92,509.81,356.95,SUCCESS
003md,27,TRUE,2774,3617,0.66,6.62,630.24,287.1,SUCCESS
007tv,27,TRUE,2810,3636,0.68,5.22,675.07,315.03,SUCCESS
0092V,27,TRUE,2803,3646,0.68,10.33,675.54,229.47,SUCCESS
001wr,28,TRUE,2869,3711,0.68,6.32,600.71,278.31,SUCCESS
001xO,28,TRUE,2862,3712,0.66,7.13,656.88,287.41,SUCCESS
002HE,28,TRUE,2845,3693,0.68,4.22,649.38,351.29,SUCCESS
003o0,28,TRUE,2801,3649,0.67,4.42,581.0,330.28,SUCCESS
004BW,28,TRUE,2836,3690,0.68,3.91,575.05,396.27,SUCCESS
0009B,29,TRUE,2840,3700,0.68,4.11,567.01,346.95,SUCCESS
002Tf,29,TRUE,2813,3668,0.68,4.31,590.64,344.77,SUCCESS
009XT,29,TRUE,2834,3688,0.67,4.42,542.88,340.79,SUCCESS
00EbJ,29,TRUE,2870,3715,0.67,4.12,537.13,367.35,SUCCESS
00HJd,29,TRUE,2842,3685,0.67,4.11,659.59,356.72,SUCCESS
002KJ,30,TRUE,2867,3738,0.67,4.32,562.6,339.58,SUCCESS
002O7,30,TRUE,2873,3745,0.66,4.22,617.86,355.47,SUCCESS
00Bn0,30,TRUE,2825,3681,0.67,8.83,626.0,242.69,SUCCESS
00LZf,30,TRUE,2869,3728,0.67,4.12,596.91,350.77,SUCCESS
00VXe,30,TRUE,2854,3709,0.67,4.01,621.59,382.88,SUCCESS
005jJ,31,TRUE,2890,3765,0.68,4.21,622.08,340.86,SUCCESS
009FP,31,TRUE,2868,3718,0.67,8.23,548.41,258.37,SUCCESS
00R0l,31,TRUE,2824,3683,0.67,6.92,639.25,280.86,SUCCESS
00fSz,31,TRUE,2846,3697,0.67,4.32,594.37,348.89,SUCCESS
01E5s,31,TRUE,2844,3705,0.67,4.12,521.11,340.83,SUCCESS
00LUZ,32,TRUE,2861,3725,0.67,4.42,630.6,342.73,SUCCESS
00Rue,32,TRUE,2879,3749,0.67,8.13,674.06,270.95,SUCCESS
00SLR,32,TRUE,2808,3669,0.68,4.32,566.14,344.48,SUCCESS
00d1o,32,TRUE,2884,3769,0.69,4.32,531.0,340.59,SUCCESS
01Suf,32,TRUE,2862,3723,0.67,4.02,555.02,359.79,SUCCESS
