Num_Positions,Graph_Triples,Time_Seconds,Status
1,2707,3.41,SUCCESS
2,3750,27.58,SUCCESS
3,4860,26.36,SUCCESS
4,5940,516.02,SUCCESS
5,6959,89.96,SUCCESS
6,8076,600,TIMEOUT
