PieceCount,Num_Merged_Positions,Graph_Triples_Before,Pellet_Time_Sec,Pellet_Status,Hermit_Time_Sec,Hermit_Status
27,2,4053,28.37,SUCCESS,4.79,SUCCESS
27,3,5213,104.17,SUCCESS,10.1,SUCCESS
27,4,6400,30.55,FAILED,21.02,SUCCESS
27,5,7564,TIMEOUT,TIMEOUT,37.24,FAILED
28,1,2862,600,TIMEOUT,2.97,SUCCESS
28,2,4091,TIMEOUT,TIMEOUT,5.25,SUCCESS
28,3,5265,TIMEOUT,TIMEOUT,11.12,SUCCESS
28,4,6410,TIMEOUT,TIMEOUT,20.15,SUCCESS
28,5,7633,TIMEOUT,TIMEOUT,2.4,SUCCESS
28,6,8845,TIMEOUT,TIMEOUT,57.99,SUCCESS
28,7,10006,TIMEOUT,TIMEOUT,88.3,SUCCESS
28,8,11176,TIMEOUT,TIMEOUT,138.23,SUCCESS
28,9,12377,TIMEOUT,TIMEOUT,186.0,SUCCESS
28,10,13590,TIMEOUT,TIMEOUT,247.56,SUCCESS
29,1,2840,600,TIMEOUT,3.02,SUCCESS
29,2,4008,TIMEOUT,TIMEOUT,5.25,SUCCESS
29,3,5212,TIMEOUT,TIMEOUT,10.81,SUCCESS
29,4,6439,TIMEOUT,TIMEOUT,22.0,SUCCESS
29,5,7656,TIMEOUT,TIMEOUT,35.64,SUCCESS
29,6,8860,TIMEOUT,TIMEOUT,76.9,SUCCESS
29,7,10084,TIMEOUT,TIMEOUT,93.93,SUCCESS
29,8,11300,TIMEOUT,TIMEOUT,147.38,SUCCESS
29,9,12544,TIMEOUT,TIMEOUT,226.84,FAILED
30,1,2864,4.44,SUCCESS,2.95,SUCCESS
30,2,4096,8.68,SUCCESS,5.25,SUCCESS
30,3,5281,31.24,SUCCESS,11.03,SUCCESS
30,4,6520,59.45,FAILED,20.48,SUCCESS
30,5,7748,TIMEOUT,TIMEOUT,38.92,SUCCESS
30,6,9005,TIMEOUT,TIMEOUT,62.43,SUCCESS
30,7,10229,TIMEOUT,TIMEOUT,96.87,SUCCESS
30,8,11478,TIMEOUT,TIMEOUT,147.6,SUCCESS
30,9,12671,TIMEOUT,TIMEOUT,208.97,SUCCESS
30,10,13898,TIMEOUT,TIMEOUT,316.28,SUCCESS
31,1,2909,600,TIMEOUT,3.0,SUCCESS
31,2,4126,TIMEOUT,TIMEOUT,6.54,SUCCESS
31,3,5320,TIMEOUT,TIMEOUT,11.71,SUCCESS
31,4,6544,TIMEOUT,TIMEOUT,22.61,SUCCESS
31,5,7744,TIMEOUT,TIMEOUT,44.13,SUCCESS
31,6,8967,TIMEOUT,TIMEOUT,78.49,SUCCESS
31,7,10189,TIMEOUT,TIMEOUT,104.5,SUCCESS
31,8,11426,TIMEOUT,TIMEOUT,180.24,SUCCESS
31,9,12614,TIMEOUT,TIMEOUT,228.99,SUCCESS
31,10,13862,TIMEOUT,TIMEOUT,287.27,SUCCESS
32,1,2844,3.85,SUCCESS,2.81,SUCCESS
32,2,4078,21.69,SUCCESS,5.27,SUCCESS
32,3,5242,4.05,FAILED,11.71,SUCCESS
32,4,6477,TIMEOUT,TIMEOUT,20.9,SUCCESS
32,5,7684,TIMEOUT,TIMEOUT,38.06,SUCCESS
32,6,8934,TIMEOUT,TIMEOUT,65.53,SUCCESS
32,7,10166,TIMEOUT,TIMEOUT,101.26,SUCCESS
32,8,11397,TIMEOUT,TIMEOUT,148.2,SUCCESS
32,9,12638,TIMEOUT,TIMEOUT,211.73,SUCCESS
32,10,13828,TIMEOUT,TIMEOUT,306.13,FAILED
