PuzzleId,PieceCount,Datalog_Success,Triples_Before,Triples_After,Datalog_Time_Sec,Reasoning_Time_Sec,Peak_RAM_MB,Avg_CPU_Percent,Status
000mr,19,TRUE,2738,3539,0.67,3.21,523.48,361.2,SUCCESS
001om,19,TRUE,2713,3500,0.66,3.21,521.25,364.48,SUCCESS
002CP,19,TRUE,2702,3496,0.68,3.21,515.04,372.57,SUCCESS
002LW,19,TRUE,2769,3561,0.66,3.31,519.12,354.09,SUCCESS
0018S,20,TRUE,2726,3520,0.66,3.41,513.93,337.9,SUCCESS
001Oo,20,TRUE,2670,3464,0.66,3.11,487.9,397.59,SUCCESS
001h8,20,TRUE,2770,3565,0.67,3.51,493.45,341.9,SUCCESS
001uD,20,TRUE,2708,3511,0.66,3.11,388.36,377.3,SUCCESS
003jH,20,TRUE,2768,3565,0.66,3.41,379.8,341.97,SUCCESS
000h0,21,TRUE,2784,3595,0.67,3.51,515.73,334.17,SUCCESS
000lC,21,TRUE,2752,3564,0.66,3.31,527.78,359.88,SUCCESS
001u3,21,TRUE,2744,3551,0.67,3.21,506.38,345.73,SUCCESS
003nQ,21,TRUE,2751,3574,0.68,3.21,370.3,372.45,SUCCESS
005YM,21,TRUE,2767,3570,0.67,3.21,515.89,360.09,SUCCESS
001Hi,22,TRUE,2763,3574,0.67,3.41,489.51,342.84,SUCCESS
003Jb,22,TRUE,2770,3580,0.67,3.71,505.77,313.47,SUCCESS
004Op,22,TRUE,2799,3628,0.68,3.41,484.98,338.06,SUCCESS
004WZ,22,TRUE,2777,3574,0.67,3.41,507.09,343.71,SUCCESS
0054a,22,TRUE,2783,3612,0.68,3.41,491.42,343.2,SUCCESS
00143,23,TRUE,2808,3626,0.67,3.51,537.79,346.45,SUCCESS
001XA,23,TRUE,2823,3668,0.68,3.31,514.64,345.27,SUCCESS
001gi,23,TRUE,2730,3552,0.66,3.21,505.34,345.75,SUCCESS
002Ua,23,TRUE,2784,3601,0.67,3.71,393.39,331.25,SUCCESS
002e8,23,TRUE,2832,3662,0.68,3.31,525.74,335.92,SUCCESS
001wb,24,TRUE,2791,3613,0.66,3.61,542.43,343.84,SUCCESS
002Mm,24,TRUE,2707,3509,0.66,3.41,524.06,330.87,SUCCESS
003jb,24,TRUE,2801,3623,0.68,3.41,505.02,336.61,SUCCESS
004yJ,24,TRUE,2800,3609,0.66,3.61,515.55,343.53,SUCCESS
00656,24,TRUE,2770,3584,0.67,3.21,501.16,361.73,SUCCESS
000hf,25,TRUE,2820,3660,0.67,3.41,387.25,374.2,SUCCESS
